"PROJECT_CODE","Year","n","A","bigN","LM_CBar","LM_varC","LM_varCBar","LM_P","LM_VarP","LM_P_CI","TM_CBar","TM_varC","TM_varCBar","TM_P","TM_VarP","TM_P_CI","MT1_CBar","MT1_varC","MT1_varCBar","MT1_P","MT1_VarP","MT1_P_CI","MT2_CBar","MT2_varC","MT2_varCBar","MT2_P","MT2_VarP","MT2_P_CI","MT3_CBar","MT3_varC","MT3_varCBar","MT3_P","MT3_VarP","MT3_P_CI","MT4_CBar","MT4_varC","MT4_varCBar","MT4_P","MT4_VarP","MT4_P_CI","MT5_CBar","MT5_varC","MT5_varCBar","MT5_P","MT5_VarP","MT5_P_CI","MT6_CBar","MT6_varC","MT6_varCBar","MT6_P","MT6_VarP","MT6_P_CI","MT7_CBar","MT7_varC","MT7_varCBar","MT7_P","MT7_VarP","MT7_P_CI","MT8_CBar","MT8_varC","MT8_varCBar","MT8_P","MT8_VarP","MT8_P_CI","MT9_CBar","MT9_varC","MT9_varCBar","MT9_P","MT9_VarP","MT9_P_CI","MT10_CBar","MT10_varC","MT10_varCBar","MT10_P","MT10_VarP","MT10_P_CI","MM_CBar","MM_varC","MM_varCBar","MM_P","MM_VarP","MM_P_CI","TF_CBar","TF_varC","TF_varCBar","TF_P","TF_VarP","TF_P_CI","FT11_CBar","FT11_varC","FT11_varCBar","FT11_P","FT11_VarP","FT11_P_CI","FT12_CBar","FT12_varC","FT12_varCBar","FT12_P","FT12_VarP","FT12_P_CI","FT13_CBar","FT13_varC","FT13_varCBar","FT13_P","FT13_VarP","FT13_P_CI","MF_CBar","MF_varC","MF_varCBar","MF_P","MF_VarP","MF_P_CI"
"T06","2005",4,38.130000,5792.060032,8.715696,75.817329,18.941242,50480.852599,635415236.514461,80221.337234,31.349809,382.993987,95.682372,181576.437870,3209823077.37135,180302.451802,0.992574,1.960616,0.489815,5748.937492,16431674.227263,12900.364838,7.473122,56.406863,14.091977,43283.928356,472738627.306146,69194.508650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.250000,0.062456,1447.986750,2095217.669683,4606.548615,4.477722,17.585228,4.393271,25934.732977,147379526.520912,38634.888510,5.962971,37.113634,9.272001,34537.213715,311044574.668345,56127.073725,5.485348,13.450982,3.360423,31770.847990,112730942.503958,33789.569128,1.985198,4.561612,1.139615,11498.164611,38230282.578706,19677.269733,2.485198,5.528803,1.381246,14394.138111,46336188.947322,21663.131720,2.237673,3.493088,0.872669,12960.487863,29275123.765507,17219.100259,19.156390,183.575631,45.862213,110952.799292,1538523626.47151,124828.332705,5.242874,2.297781,0.574048,30366.450000,19257410.633237,13965.613876,0.750000,2.250000,0.562111,4343.960250,18856959.027147,13819.645845,0.250000,0.250000,0.062456,1447.986750,2095217.669683,4606.548615,4.242874,4.278779,1.068956,24574.503000,35859899.522558,19057.486422,4.492874,3.033530,0.757858,26022.489750,25423624.291179,16046.481354
"T06","2007",7,38.130000,5792.060032,3.738720,12.421796,1.772397,21654.472900,59458004.474389,18867.896628,26.360551,363.050371,51.801658,152678.919199,1737772095.34823,102003.419992,0.998672,1.313745,0.187451,5784.256281,6288358.021968,6136.022641,2.740048,11.151889,1.591201,15870.216619,53379488.201821,17877.448115,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.587089,11.076835,1.580492,32360.126047,53020236.067229,17817.187570,3.691410,6.158489,0.878720,21380.453099,29478143.136843,13285.208821,7.007461,60.486066,8.630423,40586.848455,289521803.071352,41635.037574,0.145772,0.148747,0.021223,844.307142,711993.030391,2064.696372,3.018690,13.498218,1.925986,17484.097183,64610391.423084,19668.421627,3.171405,8.877381,1.266664,18368.614370,42492354.470267,15950.478696,13.017220,67.048291,9.566751,75395.052047,320932464.654405,43835.417699,7.407413,30.320155,4.326216,42903.347837,145130056.093068,29477.931485,2.011445,5.839049,0.833141,11650.185610,27949114.938042,12936.069893,1.165791,1.132548,0.161597,6752.201045,5421040.674610,5697.176267,4.230177,7.114602,1.015143,24500.961181,34054663.930645,14279.290299,5.395968,12.822810,1.829616,31253.162226,61377494.886053,19170.034873
"T06","2009",7,38.130000,5792.060032,5.214285,45.988095,6.561788,30200.866500,220126007.081442,36303.960121,24.158730,263.657848,37.619886,139926.084666,1262021161.93069,86926.389639,2.154761,15.806547,2.255349,12480.266750,75659411.313068,21283.831030,3.059523,15.997023,2.282527,17720.599750,76571142.121586,21411.686994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.017857,4.668898,0.666179,17479.268625,22348089.154090,11567.473710,3.497795,2.990774,0.426737,20259.045657,14315602.832809,9258.127213,3.188271,7.284817,1.039430,18466.300157,34869410.797459,14449.094386,0.571428,0.619047,0.088328,3309.684000,2963125.127681,4212.048072,3.215828,9.965135,1.421870,18625.910689,47698984.192556,16899.462380,5.453262,11.322903,1.615602,31585.009037,54198060.946608,18014.001643,11.729938,87.649936,12.506286,67939.180782,419544024.954630,50119.542003,13.797178,42.148039,6.013871,79912.524481,201745246.132144,34755.214923,7.301587,8.377425,1.195328,42290.406666,40099271.670908,15494.821081,1.428571,3.952380,0.563943,8274.210000,18918414.276738,10642.917342,5.067019,29.562305,4.218082,29347.907814,141502539.159884,29107.200673,6.495590,41.624621,5.939188,37622.117814,199239862.398039,34538.736022
"T06","2011",5,38.130000,5792.060032,14.965986,351.647461,70.268780,86682.200000,2357282184.10553,134801.547579,42.389187,3249.075468,649.254140,245515.925947,21780301440.9565,409751.954892,8.435374,166.446850,33.260633,48857.240000,1115782818.97438,92742.527193,4.523809,21.975797,4.391365,26201.665000,147315594.956685,33698.723732,0.476190,1.133786,0.226561,2758.070000,7600383.419718,7654.324009,1.530612,2.863390,0.572183,8865.225000,19194845.881431,12164.139887,7.966344,155.380963,31.049366,46140.644736,1041602223.90850,89606.608558,2.487647,1.602480,0.320219,14408.323578,10742288.429843,9099.918351,5.372359,35.931681,7.180132,31116.421315,240869401.507881,43090.338717,0.238095,0.283446,0.056640,1379.035000,1900095.854929,3827.162004,8.476548,196.283603,39.222832,49095.719736,1315794627.63584,100712.446417,2.882205,32.920254,6.578367,16693.581578,220682185.478009,41245.134986,25.419978,999.487205,199.724879,147231.168315,6700100640.80049,227263.533210,7.298334,65.376362,13.063985,42271.565789,438252940.005297,58123.466825,3.751610,32.716033,6.537558,21729.128632,219313177.362857,41117.003285,1.351593,1.909327,0.381535,7828.356578,12799249.341067,9933.020710,2.195130,3.160560,0.631566,12714.080578,21186937.784413,12779.774384,3.546723,7.310861,1.460910,20542.437157,49008642.069435,19436.829533
"T06","2013",5,38.130000,5792.060032,6.284959,85.327043,17.050676,36402.151439,571993091.752140,66402.508023,23.046631,966.667386,193.166581,133484.867241,6480091726.09981,223501.101505,1.409067,4.336020,0.866455,8161.241876,29066678.511392,14968.793416,3.921109,32.619087,6.518185,22710.856859,218663299.816662,41056.038316,0.251124,0.315318,0.063009,1454.501096,2113747.170256,4036.599023,0.703658,1.211206,0.242032,4075.551606,8119368.787896,7911.343202,5.425312,121.880691,24.355095,31423.120762,817031865.610913,79361.266270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.714406,30.462724,6.087285,15721.699044,204208033.357038,39675.782660,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.217450,21.412706,4.278844,18635.305253,143540894.933207,33264.187192,5.404502,13.568372,2.711331,31302.590742,90956103.283254,26479.209410,11.710271,399.110727,79.753239,67825.272201,2675454000.20948,143611.042679,5.335342,15.323145,3.061983,30902.022077,102719288.751168,28139.416844,5.132183,16.691561,3.335430,29725.334001,111892517.181564,29369.030696,0.203159,0.206368,0.041238,1176.688076,1383399.576361,3265.599420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.203159,0.206368,0.041238,1176.688076,1383399.576361,3265.599420
"T06","2014",5,38.130000,5792.060032,5.480202,27.470967,5.489450,31741.040033,184152676.284532,37677.155587,27.078929,507.308386,101.374090,156839.723231,3400761138.97956,161911.298507,1.338292,1.855843,0.370848,7751.321155,12440715.186047,9792.910039,3.365919,13.301971,2.658097,19495.229131,89170275.923182,26217.975084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.775989,1.572974,0.314323,4494.489746,10544496.091340,9015.753024,2.107780,3.620013,0.723377,12208.150677,24266900.821679,13677.170118,2.004713,7.818655,1.562381,11611.193185,52412656.043969,20100.514566,4.339756,18.907671,3.778269,25135.639920,126748300.757426,31257.926383,0.192148,0.184605,0.036889,1112.915665,1237512.073204,3088.615264,3.736320,20.802493,4.156907,21640.573155,139450307.617123,32786.784749,9.218007,50.573928,10.106054,53390.210593,339024263.224535,51121.605143,9.592695,88.773840,17.739441,55560.383896,595098832.068072,67730.399949,9.401974,80.088581,16.003889,54455.737381,536876865.029993,64331.908577,7.143658,43.368609,8.666234,41375.689301,290723128.906709,47340.068630,1.874018,5.054338,1.009995,10854.216748,33881949.168833,16161.188077,0.384297,0.738423,0.147557,2225.831331,4950048.292817,6177.230528,2.258316,9.530483,1.904451,13080.048080,63887959.717469,22192.110218
"T06","2015",5,38.130000,5792.060032,5.422332,39.010260,7.795316,31405.864556,261506769.791084,44898.368418,37.687563,740.139385,147.900091,218284.369618,4961552626.39371,195568.044064,0.678658,0.400347,0.080000,3930.753010,2683744.413658,4548.410651,3.970170,23.605050,4.716934,22995.015430,158237357.184145,34925.577953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.773504,1.613241,0.322369,4480.096115,10814425.637232,9130.421364,2.059728,4.157570,0.830796,11929.835764,27870432.128683,14657.535084,4.497198,29.760003,5.946862,26047.532559,199497317.428163,39215.487776,5.772416,19.033105,3.803334,33433.528500,127589147.845229,31361.437395,2.287853,11.469468,2.291913,13251.126917,76886021.292770,24345.168509,9.339504,60.603139,12.110164,54093.915158,406255456.800909,55961.415988,8.308530,32.662361,6.526833,48122.566162,218953385.364205,41083.262400,11.979258,157.021594,31.377209,69383.232880,1052600251.52450,90078.433681,16.096465,386.914690,77.316137,93229.876066,2593697399.31776,141399.783482,9.008926,139.435187,27.862964,52179.223997,934709103.935708,84884.291383,3.825097,32.149654,6.424380,22154.762273,215516436.107365,40759.541452,3.262441,35.051537,7.004255,18895.889795,234969322.515799,42559.319333,7.087539,86.988216,17.382624,41050.652069,583128833.307846,67045.764796
"T06","2017",5,38.130000,5792.060032,7.645674,52.694244,10.529751,44283.343929,353237879.157865,52182.240908,23.587361,403.986767,80.727605,136616.745958,2708140717.72615,144485.646208,4.681634,20.415259,4.079527,27115.780439,136854469.463369,32480.191703,2.113763,3.825246,0.764388,12242.803438,25642685.867450,14059.531439,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.850277,0.772605,0.154387,4924.760051,5179188.396781,6318.586652,7.283490,48.524925,9.696607,42185.591814,325288689.309873,50075.301457,1.079945,0.686439,0.137169,6254.987194,4601571.102660,5955.828172,5.439635,28.486288,5.692339,31506.082004,190958925.144573,38367.108646,0.233243,0.272011,0.054355,1350.931346,1823440.056972,3749.167439,1.500303,3.139757,0.627409,8689.678937,21047481.156047,12737.645439,0.405067,0.307714,0.061489,2346.130731,2062778.494124,3987.634902,16.009111,208.341382,41.632306,92723.922938,1396624408.84894,103759.747242,1.826679,7.294402,1.457621,10580.028308,48898303.264026,19414.937016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.626428,5.401863,1.079440,9420.187141,36211599.273312,16707.556714,0.200250,0.200501,0.040065,1159.841166,1344070.259901,3218.845094,1.826679,7.294402,1.457621,10580.028308,48898303.264026,19414.937016
